DistrictName,DistrictType,Virtual,Hybrid,In_Person
A W Beattie Career Center,Specialized public school district,0,0,0
Abington Heights SD,Regular local school district,1,8,0
Abington SD,Regular local school district,2,7,0
Ad Prima CS,Charter agency,9,0,0
Adams County Technical Institute,Specialized public school district,0,0,0
Admiral Peary AVTS,Specialized public school district,0,0,0
Albert Gallatin Area SD,Regular local school district,2,7,0
Aliquippa SD,Regular local school district,6,2,1
Allegheny Valley SD,Regular local school district,0,9,0
Allegheny-Clarion Valley SD,Regular local school district,2,7,0
Allentown City SD,Regular local school district,7,2,0
Alliance for Progress CS,Charter agency,0,0,0
Altoona Area SD,Regular local school district,2,3,4
Ambridge Area SD,Regular local school district,1,5,0
Annville-Cleona SD,Regular local school district,0,6,3
Antietam SD,Regular local school district,5,4,0
Antonia Pantoja Community CS,Charter agency,9,0,0
Apollo-Ridge SD,Regular local school district,2,3,4
Armstrong SD,Regular local school district,0,7,2
Arts Academy CS,Charter agency,5,4,0
Arts Academy Elementary CS,Charter agency,9,0,0
Athens Area SD,Regular local school district,0,3,6
Austin Area SD,Regular local school district,0,7,2
Avella Area SD,Regular local school district,1,8,0
Avon Grove CS,Charter agency,1,7,1
Avon Grove SD,Regular local school district,5,2,2
Avonworth SD,Regular local school district,1,7,1
Baden Academy CS,Charter agency,2,7,0
Bald Eagle Area SD,Regular local school district,0,0,0
Baldwin-Whitehall SD,Regular local school district,1,8,0
Bangor Area SD,Regular local school district,0,6,3
Bear Creek Community CS,Charter agency,1,8,0
Beaver Area SD,Regular local school district,1,8,0
Beaver County CTC,Specialized public school district,0,0,0
Bedford Area SD,Regular local school district,1,5,3
Bedford County Technical Center,Specialized public school district,0,0,0
Belle Vernon Area SD,Regular local school district,1,0,8
Bellefonte Area SD,Regular local school district,0,8,1
Bellwood-Antis SD,Regular local school district,1,7,1
Belmont CS,Charter agency,6,3,0
Bensalem Township SD,Regular local school district,0,9,0
Benton Area SD,Regular local school district,1,6,2
Bentworth SD,Regular local school district,0,9,0
Berks CTC,Specialized public school district,0,9,0
Berlin Brothersvalley SD,Regular local school district,0,8,1
Bermudian Springs SD,Regular local school district,0,6,3
Berwick Area SD,Regular local school district,0,9,0
Bethel Park SD,Regular local school district,2,7,0
Bethlehem AVTS,Specialized public school district,0,9,0
Bethlehem Area SD,Regular local school district,0,9,0
Bethlehem-Center SD,Regular local school district,0,6,3
Big Beaver Falls Area SD,Regular local school district,0,9,0
Big Spring SD,Regular local school district,0,9,0
Blackhawk SD,Regular local school district,1,6,2
Blacklick Valley SD,Regular local school district,1,6,2
Blairsville-Saltsburg SD,Regular local school district,1,8,0
Bloomsburg Area SD,Regular local school district,0,9,0
Blue Mountain SD,Regular local school district,0,9,0
Blue Ridge SD,Regular local school district,0,9,0
Boyertown Area SD,Regular local school district,0,9,0
Boys Latin of Philadelphia CS,Charter agency,9,0,0
Bradford Area SD,Regular local school district,1,7,1
Brandywine Heights Area SD,Regular local school district,2,7,0
Brentwood Borough SD,Regular local school district,1,8,0
Bristol Borough SD,Regular local school district,2,7,0
Bristol Township SD,Regular local school district,2,6,1
Brockway Area SD,Regular local school district,0,1,8
Brookville Area SD,Regular local school district,0,3,6
Brownsville Area SD,Regular local school district,3,5,1
Bucks County Montessori CS,Charter agency,0,0,0
Bucks County Technical High School,Specialized public school district,1,8,0
Burgettstown Area SD,Regular local school district,2,7,0
Burrell SD,Regular local school district,0,9,0
Butler Area SD,Regular local school district,1,7,1
Butler County AVTS,Specialized public school district,0,0,0
CTC of Lackawanna County,Specialized public school district,0,9,0
California Area SD,Regular local school district,1,4,4
Cambria Heights SD,Regular local school district,3,0,6
Cameron County SD,Regular local school district,0,6,3
Camp Hill SD,Regular local school district,0,7,2
Canon-McMillan SD,Regular local school district,1,8,0
Canton Area SD,Regular local school district,0,9,0
Capital Area School for the Arts CS,Charter agency,0,0,0
Carbon Career & Technical Institute,Specialized public school district,0,9,0
Carbondale Area SD,Regular local school district,6,3,0
Career Institute of Technology,Specialized public school district,0,0,0
Carlisle Area SD,Regular local school district,1,8,0
Carlynton SD,Regular local school district,1,8,0
Carmichaels Area SD,Regular local school district,0,8,1
Catalyst Academy CS,Charter agency,0,0,0
Catasauqua Area SD,Regular local school district,2,7,0
Centennial SD,Regular local school district,3,5,1
Center for Student Learning CS at Pennsbury,Charter agency,9,0,0
Central Bucks SD,Regular local school district,0,8,1
Central Cambria SD,Regular local school district,1,8,0
Central Columbia SD,Regular local school district,0,1,8
Central Dauphin SD,Regular local school district,0,9,0
Central Fulton SD,Regular local school district,2,2,5
Central Greene SD,Regular local school district,2,7,0
Central Montco Technical High School,Specialized public school district,0,0,0
Central PA Institute of Science & Technology,Specialized public school district,0,0,0
Central Valley SD,Regular local school district,1,8,0
Central Westmoreland CTC,Specialized public school district,0,0,0
Central York SD,Regular local school district,0,9,0
Centre Learning Community CS,Charter agency,0,0,0
Chambersburg Area SD,Regular local school district,4,5,0
Charleroi SD,Regular local school district,3,6,0
Chartiers Valley SD,Regular local school district,0,9,0
Chartiers-Houston SD,Regular local school district,0,9,0
Cheltenham SD,Regular local school district,6,3,0
Chester Charter Scholars Academy CS,Charter agency,6,3,0
Chester Co Family Academy CS,Charter agency,7,2,0
Chester Community CS,Charter agency,9,0,0
Chester County Technical College HS,Specialized public school district,0,9,0
Chester-Upland SD,Regular local school district,9,0,0
Chestnut Ridge SD,Regular local school district,0,5,4
Chichester SD,Regular local school district,1,8,0
Christopher Columbus CS,Charter agency,9,0,0
Circle of Seasons CS,Charter agency,0,0,0
City CHS,Charter agency,5,3,1
Clairton City SD,Regular local school district,1,8,0
Clarion Area SD,Regular local school district,0,3,6
Clarion County Career Center,Specialized public school district,0,0,0
Clarion-Limestone Area SD,Regular local school district,1,7,1
Claysburg-Kimmel SD,Regular local school district,1,8,0
Clearfield Area SD,Regular local school district,0,9,0
Clearfield County CTC,Specialized public school district,0,0,0
Coatesville Area SD,Regular local school district,4,5,0
Cocalico SD,Regular local school district,0,4,5
Collegium CS,Charter agency,3,6,0
Colonial SD,Regular local school district,1,5,3
Columbia Borough SD,Regular local school district,1,6,2
Columbia-Montour AVTS,Specialized public school district,0,9,0
Commodore Perry SD,Regular local school district,1,5,3
Community Academy of Philadelphia CS,Charter agency,9,0,0
Conemaugh Township Area SD,Regular local school district,2,0,7
Conemaugh Valley SD,Regular local school district,1,4,4
Conestoga Valley SD,Regular local school district,0,1,8
Conewago Valley SD,Regular local school district,0,8,1
Conneaut SD,Regular local school district,0,9,0
Connellsville Area Career & Technical Center,Specialized public school district,0,0,0
Connellsville Area SD,Regular local school district,0,9,0
Conrad Weiser Area SD,Regular local school district,0,8,1
Cornell SD,Regular local school district,0,9,0
Cornwall-Lebanon SD,Regular local school district,0,0,9
Corry Area SD,Regular local school district,0,1,8
Coudersport Area SD,Regular local school district,0,0,0
Council Rock SD,Regular local school district,0,7,2
Cranberry Area SD,Regular local school district,1,5,3
Crawford Central SD,Regular local school district,1,5,3
Crawford County CTC,Specialized public school district,0,0,0
Crestwood SD,Regular local school district,4,4,1
Crispus Attucks CS,Charter agency,0,9,0
Cumberland Perry AVTS,Specialized public school district,0,0,0
Cumberland Valley SD,Regular local school district,0,0,9
Curwensville Area SD,Regular local school district,0,9,0
Dallas SD,Regular local school district,0,0,0
Dallastown Area SD,Regular local school district,0,3,6
Daniel Boone Area SD,Regular local school district,0,1,8
Danville Area SD,Regular local school district,0,6,3
Dauphin County Technical School,Specialized public school district,0,0,0
Deep Roots CS,Charter agency,9,0,0
Deer Lakes SD,Regular local school district,1,8,0
Delaware County Technical High School,Specialized public school district,0,0,0
Delaware Valley SD,Regular local school district,0,7,2
Derry Area SD,Regular local school district,0,8,1
Derry Township SD,Regular local school district,1,8,0
Discovery CS,Charter agency,6,3,0
Donegal SD,Regular local school district,0,6,3
Dover Area SD,Regular local school district,0,0,9
Downingtown Area SD,Regular local school district,1,8,0
Dr Robert Ketterer CS Inc,Charter agency,1,3,2
DuBois Area SD,Regular local school district,0,6,3
Dunmore SD,Regular local school district,2,7,0
Duquesne City SD,Regular local school district,2,2,5
East Allegheny SD,Regular local school district,5,4,0
East Lycoming SD,Regular local school district,0,3,6
East Penn SD,Regular local school district,0,7,2
East Pennsboro Area SD,Regular local school district,0,9,0
East Stroudsburg Area SD,Regular local school district,0,0,9
Eastern Center for Arts & Technology,Specialized public school district,0,0,0
Eastern Lancaster County SD,Regular local school district,0,0,9
Eastern Lebanon County SD,Regular local school district,0,5,4
Eastern Westmoreland CTC,Specialized public school district,0,0,0
Eastern York SD,Regular local school district,0,9,0
