,name,NumberofSchools,GradesOffered,DistrictEnrollment,PercentofGiftedStudents,CharterSchoolEnrollment,GeographicSizeofDistrict,AmericanIndian_AlaskanNative,Asian,NativeHawaiianorotherPacificIslander,Black,Hispanic,White,TwoOrMoreRaces,EconomicallyDisadvantaged,EnglishLearner,SpecialEducation,Female,Male,Homeless,MilitaryConnected,perc_unconnected_students,Latitude,Longitude
0,Abington School District,9,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.9607719425894672,0.8993177859030456,-0.0643251552052587,-0.7334430373738142,-0.1594835312238368,1.0461979909023589,0.20941058353413697,0.8521773070987206,0.19680206874236633,-0.9587833418274823,0.7412332669020499,-0.8963782738799893,0.4533460461129727,-0.5661163244032238,0.20784352729281508,-0.21491259926924638,-0.5885808430743488,-0.013235840097965312,-0.9668780460674428,40.112391,-75.128542
1,Abington Heights School District,6,"K5H, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.07404435168503654,-0.3727874206283669,-0.06827724267676033,-0.19811401633194475,-0.4924637909756968,0.977201189616803,1.995664962739852,-0.409152956621652,-0.3047693889488597,0.3230256145923587,-0.6784243068781681,-2.1181732157352333,-0.28867172844226757,-0.829856447526376,0.13883892308847867,-0.14603566475713756,-0.9428653312457602,-0.5793516294309382,-1.2289600032234296,41.494201,-75.698738
2,Albert Gallatin Area School District,8,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.00882255548905151,-0.07922468065957938,-0.0564209802622554,0.49794096056122283,-0.1594835312238368,-0.5407284386654247,0.20941058353413697,-0.2639088656477909,-0.6593285228340368,0.6042858532312451,0.11330780157618427,0.5107125833277089,-0.647712587098029,1.9394148452667224,0.7598803609274964,-0.7659280753661073,-0.7066756724648193,-0.29629373476445175,1.653941525492427,39.83006,-79.771237
3,Aliquippa School District,2,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.3650985721959415,-1.155621393878467,-0.00673759490623473,-0.8436607147724511,-0.4924637909756968,-0.5637273724272767,0.20941058353413697,4.704967930826405,-0.06263144385654369,-3.0198214839845647,1.9697830903657003,1.634069070151962,-0.025375098761375788,0.6470882419632769,-0.48220251475053916,0.47385674585183224,-0.05715411081723165,-0.5793516294309382,2.440187396960388,40.609438,-80.279389
4,Allegheny Valley School District,2,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.36595997455741847,-0.12815180398771067,-0.08775538807201844,-0.7870836121646251,0.17349672852802323,-0.4947305711417209,-0.6837166060687205,-0.21804231060341372,-0.45178171275490875,0.5166802051306082,-0.2689076990569514,-0.19572809395352211,-0.2407996139548327,0.38334811884012465,-2.2763222240632612,2.2646570431666375,-0.2342963549029374,-0.5793516294309382,0.08144978255650517,40.544106,-79.816428
5,Allegheny-Clarion Valley School District,2,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.4183332381352205,-0.9599129005659419,-0.08380330060051679,0.33770442601276063,-0.4924637909756968,-0.5637273724272767,-0.6837166060687205,-0.43208623414384056,-0.6593285228340368,0.8855460918701308,-0.8695320571947359,0.1285397579132726,-0.647712587098029,0.7525842912125373,-1.5172715778155705,1.5070107635334502,1.7142683300398254,-0.10758847165346078,-0.1806321745994818,41.147178,-79.67631
7,Altoona Area School District,11,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.6870182721120746,-0.6174230372690231,-0.013230310037987431,-0.20163784971236298,0.5064769882798832,-0.40273483609431315,0.20941058353413697,0.16417898143306284,-0.4604294965082057,0.24464161366021,-0.13240216311654565,0.9334188902254945,-0.48016018639200697,1.4646826236450492,0.13883892308847867,-0.14603566475713756,0.9466519390017674,-0.29629373476445175,0.7366546754464726,40.510234,-78.398142
8,Ambridge Area School District,5,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.14010027537814734,-1.3024027638628606,0.0325009878465316,-0.6382016518419548,-0.4924637909756968,-0.4947305711417209,0.20941058353413697,0.7222220678063187,-0.6420329553274426,-0.12422427307931258,0.8231365884662936,0.3601596521038402,0.33366575989438557,0.8317063281494832,-1.0342393483852255,1.024872221948698,0.8876045243065321,-0.5793516294309382,0.6056136968684791,40.591117,-80.225185
10,Antietam School District,3,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.3170323204255245,-0.2749331739721043,-0.08267413275151632,-0.8376897748778536,-0.4924637909756968,-0.471731637379869,-0.6837166060687205,-0.06515379378882309,4.148839243999095,-2.037716060540586,-0.15970327030462692,0.724960985453984,1.6980210227862793,1.200942500521897,-1.0342393483852255,1.024872221948698,-0.2342963549029374,-0.29629373476445175,0.3435317397124921,40.356083,-75.865089
12,Armstrong School District,8,"K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.2589012984580022,-0.2749331739721043,-0.04117721430074906,3.459037726978775,-0.4924637909756968,-0.4947305711417209,-0.6837166060687205,-0.4167973824623815,-0.6247373878208488,0.8578811503646668,-0.9787364859470605,0.3601596521038402,-0.5998404726105941,0.25147805727854855,0.8288849651318329,-0.8348050098782162,0.2380829626589444,-0.20194110320895625,0.47457271829048564,40.831394,-79.547734
13,Athens Area School District,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.17024935802984256,-0.2749331739721043,-0.07364078995951256,0.9025944937459163,-0.1594835312238368,-0.21874336599949767,1.1025377731369945,-0.34799754989581577,-0.3825994427285327,0.6088966768154889,-0.8695320571947359,-0.2767950569202207,-0.5040962436357244,0.19873003265391828,-0.8272255357722162,0.8182414184123715,-0.3523911842934078,-0.3906463663199472,-0.1806321745994818,41.970859,-76.528231
